Date,Open,High,Low,Close,Adj Close,Volume
2022-02-22,2599.699951,2638.014893,2554.820068,2588.050049,2588.050049,1945300
2022-02-23,2621.570068,2634.979980,2550.070068,2551.699951,2551.699951,1321600
2022-02-24,2500.000000,2660.739990,2495.290039,2653.469971,2653.469971,2158300
2022-02-25,2670.510010,2707.780029,2635.300049,2690.389893,2690.389893,1311800
2022-02-28,2665.689941,2712.810059,2656.504883,2697.820068,2697.820068,1483800
2022-03-01,2689.600098,2722.219971,2667.570068,2683.360107,2683.360107,1232000
2022-03-02,2692.165039,2712.310059,2668.649902,2695.030029,2695.030029,1198300
2022-03-03,2719.570068,2734.275879,2668.620117,2686.159912,2686.159912,989000
2022-03-04,2667.649902,2683.979980,2608.169922,2642.439941,2642.439941,1222300
2022-03-07,2638.080078,2638.080078,2528.199951,2529.290039,2529.290039,1958900
2022-03-08,2525.010010,2624.929932,2517.215088,2545.570068,2545.570068,1762500
2022-03-09,2628.000000,2683.969971,2601.760010,2677.320068,2677.320068,1612900
2022-03-10,2629.250000,2670.770020,2628.020020,2653.639893,2653.639893,1213300
2022-03-11,2679.989990,2684.000000,2605.929932,2609.510010,2609.510010,1328500
2022-03-14,2611.459961,2620.520020,2528.260010,2534.820068,2534.820068,1512700
2022-03-15,2554.830078,2610.344971,2531.360107,2593.209961,2593.209961,1514600
2022-03-16,2620.000000,2675.419922,2584.020020,2673.810059,2673.810059,1602900
2022-03-17,2666.419922,2694.790039,2654.379883,2692.010010,2692.010010,1199700
2022-03-18,2677.679932,2738.270020,2658.639893,2736.030029,2736.030029,2291100
2022-03-18,2677.679932,2738.270020,2658.639893,2736.030029,2736.030029,2283371
